time,Frequency
4.062,882.802
4.203,882.802
4.343,882.802
4.476,882.802
4.617,882.802
4.738,884.310
4.878,884.310
5.018,883.550
5.135,882.711
5.272,878.840
5.406,657.549
5.546,657.123
5.686,657.650
5.826,699.617
5.966,698.819
6.102,782.613
6.242,780.747
6.375,780.747
6.506,883.262
6.646,881.249
6.786,659.497
6.922,660.389
7.062,659.019
7.196,660.697
7.331,656.348
7.440,584.589
7.581,589.360
7.721,589.360
7.841,589.360
7.981,589.360
8.109,589.360
8.246,586.736
8.387,586.736
8.526,586.736
8.654,586.736
8.782,586.736
8.902,586.736
9.022,586.858
9.141,588.164
9.260,588.164
9.380,588.164
9.486,588.085
9.626,588.085
9.766,588.085
9.892,662.075
9.993,657.610
10.111,698.955
10.211,695.465
10.346,701.755
10.486,701.755
10.627,701.755
10.766,883.941
10.906,883.941
11.046,880.469
11.162,882.411
11.303,881.698
11.436,882.354
11.577,879.201
11.717,882.529
11.857,881.930
11.998,881.930
12.134,883.853
12.268,783.365
12.382,780.715
12.498,780.114
12.636,700.228
12.775,699.806
12.906,656.433
13.022,656.902
13.162,656.078
13.302,656.319
13.442,657.716
13.582,657.773
13.722,658.675
13.862,657.319
14.002,661.642
14.128,661.645
14.261,657.827
14.401,662.089
14.542,662.089
14.676,662.089
14.816,658.223
14.957,661.634
15.097,660.296
15.237,660.296
15.355,695.298
15.495,784.933
15.626,784.243
15.766,785.740
15.902,784.702
16.043,784.702
16.183,785.922
16.315,390.899
16.441,784.679
16.559,783.636
16.699,786.562
16.832,786.521
16.967,785.607
17.106,783.359
17.242,701.312
17.362,700.368
17.482,699.448
17.592,660.349
17.727,658.653
17.852,780.118
17.986,783.445
18.126,782.249
18.255,696.692
18.386,696.066
18.522,695.463
18.662,700.609
18.778,701.505
18.916,700.029
19.046,698.960
19.149,700.934
19.283,700.934
19.416,695.703
19.556,695.721
19.696,695.721
19.837,695.380
19.977,661.009
20.087,662.163
20.190,662.163
20.322,701.077
20.439,697.174
20.562,786.756
20.682,782.980
20.802,782.828
20.942,782.822
21.082,782.222
21.222,195.375
21.362,195.375
21.473,195.375
21.613,786.943
21.742,785.972
21.870,787.706
22.000,787.776
22.136,786.720
22.277,783.672
22.417,783.339
22.557,701.653
22.698,695.680
22.833,701.949
22.947,785.295
23.083,781.070
23.223,656.324
23.362,658.659
23.474,656.075
23.580,656.075
23.716,656.300
23.843,656.300
23.982,659.149
24.102,657.214
24.242,657.317
24.382,659.317
24.493,656.046
24.604,661.244
24.743,660.327
24.882,656.415
25.022,657.007
25.162,658.406
25.271,658.406
25.406,658.406
25.527,658.406
25.656,658.406
25.774,658.406
25.906,658.406
26.040,884.040
26.159,882.773
26.275,882.773
26.416,882.773
26.546,882.324
26.686,881.030
26.826,883.710
26.966,878.476
27.080,880.111
27.199,880.111
27.331,656.802
27.472,656.802
27.584,696.611
27.716,696.706
27.856,697.568
27.987,786.679
28.122,784.756
28.256,784.756
28.381,878.708
28.522,882.845
28.630,657.901
28.771,656.277
28.908,656.277
29.046,656.688
29.187,659.981
29.327,658.526
29.467,586.325
29.601,585.664
29.722,585.311
29.842,590.151
29.962,590.234
30.096,584.837
30.223,585.404
30.356,585.404
30.496,585.404
30.637,585.404
30.776,588.664
30.916,588.612
31.056,293.896
31.196,293.896
31.306,293.896
31.439,584.646
31.569,584.646
31.707,584.646
31.821,584.646
31.962,662.395
32.102,662.094
32.236,661.233
32.363,657.975
32.496,657.975
32.616,657.975
32.729,698.347
32.866,698.577
33.006,699.432
33.127,699.432
33.266,699.432
33.391,700.994
33.526,698.414
33.647,698.414
33.788,698.414
33.926,701.416
34.054,699.021
34.186,662.180
34.326,659.986
34.450,657.670
34.562,657.670
34.703,195.445
34.822,784.751
34.947,781.434
35.062,780.582
35.201,780.582
35.342,780.582
35.482,780.582
35.594,780.582
35.696,780.582
35.802,741.792
35.922,741.792
36.062,741.792
36.201,741.792
36.342,741.792
36.476,741.792
36.617,741.792
36.737,658.577
36.877,660.039
36.986,660.039
37.102,698.046
37.240,698.000
37.380,787.546
37.503,787.441
37.641,786.640
37.776,787.353
37.917,783.476
38.054,785.847
38.169,786.175
38.279,784.028
38.419,781.304
38.560,784.720
38.699,786.343
38.812,782.987
38.946,782.394
39.086,782.394
39.196,661.032
39.334,661.213
39.467,656.860
39.606,787.821
39.746,785.265
39.862,782.053
40.002,695.568
40.141,700.549
40.281,701.733
40.402,701.733
40.542,695.587
40.676,2101.632
40.782,2092.027
40.921,2092.027
41.056,2092.027
41.180,2092.027
41.316,658.234
41.453,662.467
41.582,658.327
41.722,658.327
41.862,658.327
41.982,588.400
42.122,588.400
42.262,588.400
42.367,662.508
42.507,662.508
42.646,661.622
42.773,658.227
42.907,660.673
43.023,657.556
43.156,657.556
43.299,657.556
43.401,657.556
43.542,660.227
43.668,786.316
43.806,780.122
43.922,780.122
44.060,780.488
44.196,700.236
44.337,698.660
44.455,697.619
44.592,662.369
44.726,661.585
44.866,661.295
45.006,589.416
45.144,589.416
45.284,589.416
45.393,589.416
45.518,589.416
45.653,590.097
45.772,590.097
45.888,590.097
46.022,590.097
46.140,590.097
46.267,590.097
46.406,590.097
46.546,590.097
46.686,590.097
46.814,657.699
46.948,657.699
47.086,657.699
47.226,696.907
47.366,783.507
47.506,785.425
47.641,783.861
47.781,783.313
47.901,785.630
48.041,780.493
48.176,780.313
48.316,781.300
48.457,780.683
48.598,782.874
48.721,782.138
48.836,781.705
48.941,782.378
49.081,782.378
49.221,698.969
49.362,659.468
49.502,658.452
49.636,787.638
49.755,782.408
49.877,780.264
50.009,780.264
50.149,696.703
50.287,698.148
50.420,701.260
50.535,699.307
50.651,697.828
50.769,695.491
50.903,701.098
51.043,697.077
51.177,700.510
51.301,700.965
51.442,660.433
51.576,656.966
51.700,658.047
51.822,658.047
51.961,586.046
52.097,523.503
52.237,524.886
52.378,524.886
52.502,524.886
52.641,522.415
52.781,522.415
52.920,522.415
53.056,522.415
53.196,522.415
53.331,522.415
53.471,522.415
53.605,787.602
53.727,787.602
53.861,782.512
53.981,787.245
