time,Frequency
6.073,590.027
6.212,590.027
6.323,590.027
6.434,590.027
6.573,662.493
6.697,659.775
6.833,659.559
6.965,659.559
7.081,659.559
7.182,658.593
7.318,659.974
7.458,661.534
7.599,656.445
7.733,219.251
7.873,219.251
8.006,656.595
8.121,661.184
8.241,659.777
8.353,658.240
8.478,658.378
8.613,658.098
8.733,219.145
8.874,661.998
9.013,660.441
9.119,657.852
9.226,660.308
9.347,660.308
9.483,701.644
9.622,700.150
9.761,660.455
9.874,657.527
9.993,658.574
10.131,659.523
10.256,659.471
10.387,656.575
10.493,130.850
10.622,660.974
10.746,661.112
10.885,659.367
11.022,660.282
11.162,660.282
11.302,590.153
11.442,525.889
11.582,525.889
11.714,525.889
11.832,525.889
11.962,525.889
12.073,525.889
12.213,525.473
12.316,525.906
12.452,525.906
12.592,525.906
12.713,525.906
12.853,525.906
12.994,525.906
13.134,525.906
13.272,525.906
13.412,525.906
13.553,525.906
13.692,587.358
13.807,587.358
13.948,587.358
14.065,587.358
14.202,587.358
14.342,587.358
14.474,588.312
14.594,588.312
14.735,588.312
14.875,588.312
15.012,588.312
15.152,588.312
15.280,588.312
15.393,588.312
15.533,588.312
15.653,588.312
15.764,586.421
15.881,586.421
16.012,586.421
16.152,586.421
16.281,554.116
16.413,525.306
16.552,524.874
16.687,525.637
16.825,522.714
16.962,522.714
17.102,657.933
17.242,656.400
17.373,657.543
17.493,783.210
17.632,783.097
17.744,781.486
17.882,390.803
18.002,781.693
18.130,781.693
18.262,781.163
18.384,785.263
18.522,781.586
18.658,780.346
18.792,780.346
18.932,780.346
19.072,780.346
19.207,780.346
19.347,780.346
19.482,780.346
19.621,780.346
19.741,1049.645
19.864,1049.645
19.991,984.978
20.124,984.365
20.262,986.414
20.403,880.549
20.510,883.290
20.611,882.414
20.733,882.209
20.873,878.202
21.013,878.278
21.125,878.278
21.249,880.105
21.387,882.478
21.527,884.360
21.633,882.671
21.773,879.871
21.885,883.000
22.002,782.605
22.133,781.769
22.273,780.903
22.404,780.903
22.542,780.903
22.682,780.903
22.786,780.903
22.925,660.799
23.033,656.916
23.153,659.699
23.273,658.638
23.413,658.543
23.553,219.660
23.693,219.660
23.833,219.660
23.974,219.660
24.112,700.083
24.224,700.958
24.350,700.958
24.475,701.702
24.612,701.702
24.752,701.702
24.892,700.927
25.027,350.710
25.163,658.352
25.297,656.669
25.437,656.581
25.577,327.999
25.712,327.999
25.816,327.999
25.952,525.716
26.092,525.749
26.232,523.082
26.372,523.082
26.477,523.082
26.579,588.018
26.715,588.018
26.833,660.366
26.966,658.630
27.074,660.234
27.202,662.107
27.320,659.581
27.460,659.755
27.588,659.817
27.710,658.790
27.841,656.994
27.980,659.197
28.112,660.783
28.243,660.086
28.382,658.173
28.522,660.539
28.653,657.112
28.776,659.786
28.898,661.019
29.032,661.786
29.167,658.278
29.306,658.542
29.444,329.212
29.582,589.395
29.687,589.949
29.793,588.966
29.913,588.966
30.053,588.966
30.188,586.558
30.313,525.710
30.452,525.646
30.585,525.646
30.709,523.832
30.850,523.832
30.986,523.832
31.122,523.832
31.263,523.832
31.373,523.832
31.512,523.832
31.653,523.832
31.773,523.832
31.893,523.832
32.032,523.832
32.172,523.832
32.312,523.832
32.433,523.832
32.573,523.832
32.713,525.767
32.851,525.767
32.968,525.767
33.103,525.767
33.229,525.767
