time,Frequency
3.990,656.225
4.131,656.225
4.270,656.225
4.410,656.225
4.540,656.225
4.652,656.225
4.790,656.225
4.915,656.225
5.050,659.014
5.190,656.279
5.330,656.944
5.470,660.456
5.610,662.556
5.728,660.967
5.860,657.253
5.972,700.890
6.110,700.890
6.250,700.528
6.357,700.138
6.490,696.179
6.630,784.149
6.770,782.984
6.911,782.984
7.050,782.984
7.182,780.166
7.325,780.317
7.460,782.957
7.600,780.527
7.732,786.828
7.870,785.472
8.010,880.958
8.151,883.380
8.290,880.806
8.430,877.011
8.570,876.262
8.711,876.262
8.850,876.262
8.975,781.666
9.083,780.962
9.224,780.962
9.362,785.090
9.503,785.090
9.640,785.090
9.770,785.090
9.911,785.090
10.047,785.090
10.187,785.090
10.320,785.090
10.460,785.090
10.594,656.217
10.730,660.010
10.870,660.010
11.000,660.010
11.140,660.010
11.280,660.010
11.420,660.010
11.560,660.010
11.700,660.010
11.840,656.366
11.980,657.002
12.120,656.040
12.260,661.194
12.368,658.750
12.500,659.403
12.640,658.848
12.765,657.155
12.900,698.942
13.030,701.027
13.171,698.309
13.311,695.126
13.452,781.406
13.592,780.412
13.733,781.290
13.874,780.183
14.010,780.342
14.124,780.124
14.265,780.124
14.400,782.206
14.540,780.166
14.670,881.171
14.801,882.244
14.942,881.899
15.079,884.128
15.183,881.637
15.323,880.735
15.464,880.735
15.600,880.735
15.730,880.735
15.871,880.735
16.012,880.735
16.152,983.252
16.290,983.700
16.430,987.961
16.571,985.888
16.700,983.672
16.808,983.316
16.940,984.288
17.080,987.036
17.220,985.073
17.360,988.895
17.500,988.895
17.640,988.895
17.780,986.843
17.920,985.760
18.060,493.325
18.200,986.370
18.317,987.939
18.450,988.512
18.590,987.208
18.730,987.208
18.870,987.208
19.010,984.756
19.113,986.210
19.253,988.816
19.394,1049.501
19.530,1046.221
19.644,1046.550
19.777,1046.550
19.911,1180.616
20.052,1170.602
20.192,1172.654
20.330,1171.049
20.470,1169.158
20.592,1169.158
20.726,1169.158
20.866,1046.201
21.000,1046.201
21.104,1046.201
21.244,1046.201
21.385,983.851
21.520,988.907
21.661,986.343
21.801,984.137
21.917,879.742
22.040,882.240
22.181,882.240
22.315,884.110
22.455,879.195
22.561,879.617
22.694,881.769
22.795,881.653
22.936,781.751
23.071,781.751
23.212,781.751
23.350,780.253
23.470,786.437
23.610,786.437
23.739,781.071
23.855,781.764
23.971,783.330
24.094,780.811
24.220,785.306
24.361,782.493
24.500,780.351
24.640,780.351
24.780,780.351
24.921,882.451
25.060,882.538
25.200,878.767
25.340,878.767
25.481,985.755
25.620,984.426
25.760,983.121
25.900,985.915
26.010,984.122
26.150,983.801
26.291,879.703
26.430,883.031
26.570,781.347
26.673,781.097
26.789,781.938
26.930,781.938
27.071,781.938
27.210,696.254
27.350,695.579
27.462,701.530
27.584,696.441
27.725,696.441
27.833,658.955
27.970,658.955
28.110,656.212
28.246,658.087
28.380,656.336
28.521,656.336
28.630,656.142
28.770,656.142
28.910,656.142
29.051,657.393
29.175,656.136
29.316,656.136
29.451,656.136
29.591,656.136
29.730,656.136
29.870,656.136
29.986,656.136
30.112,656.136
30.250,656.136
30.390,656.136
30.530,656.298
30.670,659.618
30.810,657.074
30.951,1046.550
31.092,1046.550
31.233,1046.550
31.373,1046.550
31.510,1046.550
31.650,1046.550
31.791,1046.550
31.925,987.215
32.066,987.215
32.206,987.215
32.340,1177.259
32.480,1178.020
32.620,1171.186
32.760,1172.537
32.900,1175.036
33.018,1172.147
33.160,1176.375
33.301,1176.852
33.440,1171.232
33.564,1175.198
33.700,1178.423
33.841,1174.469
33.980,1174.469
34.106,1169.708
34.240,584.947
34.380,1047.366
34.520,1047.366
34.660,1051.636
34.800,1046.624
34.911,1045.843
35.027,1045.843
35.160,1045.843
35.293,1045.843
35.433,986.573
35.570,986.573
35.711,986.573
35.850,986.573
35.990,880.355
36.131,877.548
36.269,781.479
36.386,782.159
36.486,783.693
36.615,780.561
36.756,780.561
36.896,780.394
37.030,782.169
37.171,782.203
37.311,782.203
37.450,261.717
37.590,780.280
37.730,785.202
37.870,785.202
38.011,785.202
38.140,782.128
38.280,782.128
38.420,782.128
38.560,883.172
38.701,784.834
38.822,780.688
38.960,783.260
39.093,784.163
39.230,782.990
39.351,784.785
39.468,781.766
39.601,698.709
39.730,697.946
39.870,697.946
40.010,697.946
40.150,697.946
40.290,699.014
40.397,701.482
40.530,697.303
40.642,696.148
40.782,696.148
40.920,696.148
41.062,696.148
41.200,700.438
41.340,786.693
41.473,783.123
41.611,784.809
41.751,784.252
41.892,883.622
42.033,883.622
42.170,880.359
42.311,880.359
42.452,881.912
42.590,879.932
42.715,881.555
42.850,883.665
42.990,883.665
43.130,883.665
43.270,784.243
43.410,780.122
43.550,780.512
43.691,780.512
43.830,696.069
43.955,695.016
44.096,695.262
44.227,695.243
44.364,695.243
44.504,695.243
44.614,695.243
44.750,656.531
44.890,656.990
45.030,656.990
45.150,656.990
45.290,657.596
45.431,656.632
45.533,658.506
45.673,658.506
45.810,658.506
45.937,658.506
46.070,657.163
46.196,657.163
46.311,657.163
46.450,657.163
46.590,657.163
46.711,657.163
46.851,657.163
46.992,657.163
47.132,657.163
47.257,657.163
47.397,657.163
47.530,657.163
