time,Frequency
3.104,524.109
3.244,523.474
3.384,523.474
3.525,523.474
3.666,589.977
3.804,590.071
3.944,590.071
4.084,590.071
4.224,590.071
4.365,590.071
4.487,695.426
4.628,701.296
4.764,700.446
4.904,699.291
5.047,232.650
5.184,232.650
5.289,696.278
5.429,695.294
5.536,695.763
5.669,695.763
5.784,883.237
5.900,883.237
6.034,883.237
6.175,883.237
6.314,883.237
6.454,696.862
6.595,698.396
6.735,697.672
6.874,697.672
7.007,697.672
7.148,697.672
7.284,882.074
7.424,882.727
7.564,884.379
7.704,878.529
7.817,876.869
7.955,880.951
8.094,882.866
8.223,882.866
8.363,879.743
8.494,882.762
8.626,880.698
8.767,883.730
8.904,883.507
9.044,883.507
9.175,883.507
9.316,883.507
9.456,883.507
9.588,522.104
9.723,522.104
9.864,522.104
10.004,585.511
10.144,588.927
10.285,698.269
10.401,699.806
10.534,697.475
10.674,698.535
10.815,696.231
10.955,696.735
11.094,696.735
11.234,881.361
11.374,883.020
11.510,883.579
11.635,881.439
11.774,883.586
11.914,883.587
12.054,1047.803
12.194,1047.775
12.323,1047.450
12.458,1047.450
12.571,1051.818
12.704,1046.705
12.844,1046.033
12.969,1170.326
13.106,1170.606
13.246,1169.822
13.384,986.852
13.524,932.943
13.664,928.286
13.805,783.545
13.944,783.545
14.077,783.545
14.214,783.545
14.325,783.545
14.465,783.545
14.605,783.545
14.744,783.545
14.884,783.545
15.024,783.545
15.164,781.807
15.304,781.360
15.445,781.360
15.582,781.360
15.722,781.360
15.862,781.360
15.994,781.360
16.135,781.360
16.274,781.360
16.391,883.849
16.524,883.046
16.664,884.207
16.789,930.387
16.924,928.260
17.036,928.409
17.174,928.409
17.314,928.409
17.450,928.301
17.584,928.301
17.717,928.301
17.858,928.301
17.996,928.301
18.134,1111.675
18.274,1111.675
18.409,1111.675
18.541,1111.675
18.674,1111.675
18.814,1111.675
18.954,1111.675
19.090,1172.254
19.225,1176.944
19.364,1171.403
19.466,1171.403
19.599,1171.403
19.732,1171.403
19.864,1171.403
20.005,1171.403
20.137,1171.403
20.274,1171.403
20.394,880.741
20.535,876.622
20.674,878.653
20.814,878.653
20.954,696.394
21.092,696.151
21.225,695.522
21.364,695.522
21.493,695.522
21.624,696.384
21.754,695.561
21.895,695.020
22.034,695.020
22.175,695.020
22.314,695.020
22.454,695.020
22.579,695.020
22.719,695.020
22.859,699.469
22.999,697.017
23.134,699.930
23.274,695.777
23.414,695.777
23.554,782.975
23.694,781.577
23.834,781.577
23.974,781.577
24.114,781.577
24.255,781.577
24.395,781.238
24.534,781.238
24.674,783.392
24.814,780.088
24.954,780.088
25.094,780.088
25.234,876.069
25.358,879.593
25.498,878.896
25.638,878.896
25.779,878.896
25.913,883.152
26.044,883.610
26.169,883.715
26.309,883.715
26.449,883.715
26.585,883.715
26.717,883.715
26.858,883.715
26.963,883.715
27.103,883.715
27.228,883.715
27.364,883.715
27.505,883.715
27.608,883.715
27.719,883.715
27.854,883.715
27.994,883.715
28.134,883.715
28.275,883.715
28.389,883.715
28.529,883.715
28.669,883.715
28.787,883.715
28.928,883.715
29.051,883.715
29.164,883.715
29.300,883.715
