time,Frequency
1.536,659.024
1.676,657.033
1.815,698.481
1.955,697.093
2.095,700.392
2.235,786.678
2.354,781.563
2.491,787.094
2.625,784.124
2.765,780.809
2.878,780.809
3.015,783.815
3.134,785.800
3.265,785.584
3.410,781.516
3.545,781.516
3.649,696.675
3.786,656.239
3.926,740.626
4.067,785.951
4.205,783.308
4.345,781.211
4.487,782.657
4.604,781.295
4.735,781.295
4.857,785.206
4.995,882.242
5.113,876.892
5.252,876.892
5.370,985.942
5.505,983.286
5.646,983.286
5.785,1047.683
5.899,1047.711
6.035,1046.939
6.176,1051.911
6.316,1046.279
6.445,1050.996
6.576,1046.805
6.693,1046.805
6.833,1046.092
6.942,986.192
7.058,984.663
7.173,880.333
7.305,875.664
7.446,781.531
7.587,781.531
7.725,781.531
7.865,781.527
8.006,780.362
8.145,782.396
8.285,783.492
8.426,782.593
8.565,782.593
8.705,879.200
8.845,879.796
8.986,987.872
9.109,988.509
9.249,985.353
9.357,1049.784
9.498,1048.609
9.635,1046.722
9.775,1049.776
9.915,1047.980
10.055,1051.209
10.195,1052.221
10.336,1046.292
10.475,1046.533
10.615,987.248
10.755,983.743
10.896,880.598
11.032,879.149
11.172,783.357
11.305,780.082
11.444,780.082
11.584,780.378
11.718,783.437
11.855,786.414
11.995,781.258
12.135,781.089
12.276,781.089
12.415,699.730
12.521,697.316
12.621,697.839
12.733,656.166
12.874,657.965
13.005,780.646
13.140,780.646
13.267,780.138
13.378,781.815
13.515,781.542
13.626,782.811
13.741,783.337
13.856,780.275
13.997,783.326
14.137,781.086
14.275,781.086
14.415,781.086
14.555,658.510
14.670,660.052
14.802,660.052
14.934,697.076
15.067,699.591
15.205,699.591
15.346,699.591
15.476,783.881
15.611,785.423
15.746,784.045
15.860,780.166
15.995,786.249
16.135,781.449
16.257,699.724
16.399,697.383
16.506,698.505
16.646,658.395
16.770,657.903
16.905,785.636
17.045,786.640
17.154,784.217
17.277,786.144
17.417,781.186
17.555,781.994
17.681,781.994
17.815,781.994
17.943,781.994
18.076,781.994
18.216,883.419
18.344,883.419
18.484,936.710
18.624,1050.100
18.764,1047.374
18.905,1047.294
19.038,1047.294
19.175,1049.755
19.315,1049.755
19.455,1049.755
19.583,1051.304
19.715,1049.733
19.848,988.156
19.964,988.374
20.095,988.374
20.235,879.775
20.375,786.666
20.515,786.214
20.656,783.804
20.792,786.722
20.925,786.722
21.056,780.313
21.172,780.313
21.305,390.581
21.445,390.581
21.586,390.581
21.699,987.076
21.837,987.076
21.978,987.076
22.118,987.076
22.255,1052.219
22.382,1052.219
22.494,1049.155
22.627,1049.155
22.759,1048.133
22.895,1050.084
23.023,1052.100
23.157,1050.307
23.279,987.636
23.406,987.636
23.545,987.636
23.686,987.636
23.787,878.181
23.918,783.247
24.059,781.338
24.199,780.538
24.334,786.712
24.448,782.796
24.585,780.473
24.725,782.273
24.865,780.576
25.006,781.438
25.145,700.110
25.275,697.713
25.377,699.102
25.518,657.084
25.655,662.398
25.795,781.264
25.936,781.175
26.076,783.435
26.215,782.932
26.355,781.043
26.490,781.043
26.617,781.043
