time,Frequency
2.137,657.045
2.278,656.439
2.418,584.447
2.534,587.492
2.667,584.404
2.783,656.613
2.898,656.159
3.038,656.159
3.177,697.858
3.304,695.660
3.437,695.220
3.577,695.148
3.717,695.677
3.858,695.398
3.997,699.134
4.137,698.170
4.277,698.170
4.417,657.797
4.558,1170.313
4.698,584.988
4.837,584.988
4.959,656.932
5.099,656.932
5.211,656.932
5.351,696.927
5.492,696.927
5.631,696.927
5.754,780.269
5.895,780.269
6.035,656.611
6.167,656.611
6.307,656.611
6.448,656.611
6.563,584.772
6.697,584.772
6.826,522.780
6.942,522.780
7.078,522.780
7.218,522.780
7.357,522.780
7.498,522.780
7.638,660.537
7.771,660.537
7.911,660.537
8.047,656.191
8.187,656.191
8.327,656.191
8.443,585.862
8.577,585.967
8.718,657.758
8.827,657.758
8.967,657.758
9.090,657.657
9.205,784.332
9.321,781.632
9.457,782.164
9.597,780.707
9.737,782.271
9.877,780.840
10.017,784.020
10.157,782.404
10.297,697.782
10.437,695.668
10.577,695.156
10.712,695.156
10.852,695.156
10.988,695.156
11.123,695.156
11.255,584.503
11.369,586.505
11.507,585.470
11.631,585.673
11.767,585.367
11.907,584.618
12.048,584.618
12.188,584.618
12.328,584.618
12.468,584.618
12.609,584.618
12.747,584.618
12.887,584.618
13.023,660.057
13.158,656.384
13.297,656.384
13.438,656.384
13.568,656.384
13.700,588.912
13.837,586.628
13.977,585.547
14.117,659.512
14.257,656.869
14.398,656.869
14.525,699.053
14.662,697.318
14.797,695.584
14.937,700.438
15.078,695.739
15.188,695.183
15.320,349.880
15.459,349.880
15.597,349.880
15.734,349.880
15.866,349.880
16.006,586.093
16.143,584.626
16.283,585.150
16.417,586.805
16.543,586.805
16.669,586.805
16.809,696.849
16.949,695.971
17.088,786.966
17.227,783.672
17.368,780.711
17.508,782.978
17.647,782.978
17.787,882.865
17.927,782.032
18.067,780.421
18.191,695.504
18.327,696.478
18.468,696.478
18.607,656.825
18.748,656.825
18.888,656.825
19.004,656.825
19.135,656.825
19.267,585.601
19.383,588.407
19.515,587.004
19.634,588.313
19.775,588.313
19.908,588.313
20.047,657.106
20.187,657.106
20.323,657.106
20.457,786.205
20.597,780.527
20.738,783.938
20.877,780.097
21.017,780.097
21.158,780.222
21.297,783.650
21.438,782.206
21.578,697.551
21.690,697.735
21.828,697.290
21.968,661.162
22.107,657.136
22.225,657.136
22.358,522.176
22.498,522.365
22.637,522.362
22.777,1169.295
22.884,584.821
23.018,584.821
23.158,658.667
23.299,658.025
23.437,658.025
23.577,656.911
23.718,700.476
23.827,701.245
23.967,700.636
24.107,697.112
24.224,700.296
24.356,695.261
24.497,695.424
24.637,586.232
24.777,587.110
24.917,584.381
25.057,585.771
25.197,585.771
25.328,983.409
25.468,983.409
25.603,522.496
25.737,522.483
25.877,522.119
25.999,522.656
26.108,523.457
26.249,523.712
26.389,523.712
26.527,523.712
26.667,523.712
26.808,523.712
26.947,523.712
