time,Frequency
1.509,110.062
1.643,110.062
1.783,110.062
1.910,110.062
2.041,110.062
2.174,110.062
2.311,661.289
2.424,661.322
2.561,661.322
2.692,661.322
2.831,661.412
2.972,660.629
3.111,656.724
3.251,589.789
3.391,589.381
3.531,590.136
3.671,590.136
3.790,590.136
3.892,590.136
4.023,590.136
4.161,589.715
4.285,589.976
4.426,589.976
4.566,525.075
4.694,525.442
4.835,524.713
4.975,524.553
5.111,522.855
5.251,523.230
5.358,523.401
5.475,522.263
5.585,522.497
5.721,522.508
5.861,522.170
5.986,522.492
6.121,522.496
6.261,523.703
6.401,261.661
6.541,261.661
6.681,261.661
6.821,261.661
6.944,261.661
7.084,662.104
7.225,662.439
7.366,662.439
7.508,662.439
7.642,661.781
7.781,329.344
7.921,329.344
8.061,329.344
8.201,329.344
8.342,329.344
8.481,589.908
8.621,587.243
8.761,146.129
8.876,146.129
9.011,146.129
9.151,522.370
9.291,523.264
9.427,523.798
9.542,524.273
9.683,522.438
9.823,522.538
9.928,522.538
10.043,522.538
10.177,522.253
10.311,522.112
10.445,522.513
10.561,522.513
10.662,522.513
10.801,522.513
10.941,522.513
11.081,522.513
11.221,657.622
11.347,660.330
11.463,659.280
11.602,661.474
11.714,660.844
11.851,660.545
11.991,658.178
12.103,659.433
12.231,659.433
12.371,701.859
12.511,701.095
12.647,700.982
12.787,698.453
12.928,786.447
13.064,781.869
13.202,780.776
13.324,780.133
13.461,783.979
13.601,780.933
13.741,780.865
13.846,780.147
13.986,780.147
14.127,780.147
14.248,780.147
14.381,780.147
14.521,656.616
14.661,661.582
14.802,661.582
14.941,661.582
15.081,657.431
15.222,657.066
15.362,656.123
15.464,656.291
15.604,656.034
15.717,584.969
15.851,584.969
15.962,585.897
16.078,585.607
16.211,585.363
16.318,585.584
16.451,584.773
16.592,585.193
16.720,586.039
16.851,585.146
16.991,584.561
17.131,584.386
17.247,584.386
17.387,584.386
17.528,103.414
17.663,103.414
17.801,103.414
17.930,662.221
18.071,662.331
18.211,661.442
18.333,658.648
18.471,699.331
18.605,697.618
18.744,701.637
18.881,700.134
19.013,699.089
19.146,695.507
19.281,696.390
19.421,699.117
19.561,697.056
19.701,696.159
19.841,695.406
19.965,695.406
20.105,695.228
20.246,695.228
20.365,783.062
20.501,780.513
20.631,780.513
20.771,781.878
20.911,780.345
21.031,98.438
21.171,695.711
21.311,696.390
21.451,695.501
21.564,695.501
21.701,695.501
21.841,695.501
21.981,656.288
22.096,656.318
22.237,656.267
22.346,656.669
22.481,658.288
22.621,658.754
22.746,656.346
22.887,657.407
23.021,657.407
23.161,657.407
23.301,786.431
23.442,783.777
23.581,782.149
23.721,785.879
23.830,782.108
23.947,659.851
24.081,656.651
24.221,658.335
24.345,586.562
24.479,588.750
24.613,589.173
24.753,585.758
24.894,588.894
25.035,589.989
25.147,589.847
25.281,589.847
25.421,587.741
25.561,588.467
25.701,589.460
25.841,586.658
25.982,586.908
26.122,585.461
26.263,585.461
26.401,585.461
26.541,585.461
26.681,585.461
26.821,585.461
26.955,585.461
27.096,585.461
27.214,523.677
27.351,551.904
27.465,588.047
27.587,588.047
27.727,586.821
27.861,588.849
27.996,662.300
28.112,661.370
28.229,661.085
28.346,658.826
28.463,659.540
28.601,658.015
28.741,660.483
28.881,659.198
28.998,656.864
29.131,658.863
29.273,656.060
29.412,658.301
29.532,658.564
29.671,658.564
29.811,523.911
29.951,524.233
30.091,522.160
30.231,590.075
30.371,589.443
30.492,588.974
30.600,522.611
30.716,524.514
30.851,524.830
30.991,522.140
31.132,524.436
31.271,524.744
31.411,524.666
31.551,524.733
31.691,525.879
31.796,522.930
31.934,523.723
32.050,262.165
32.181,262.165
32.302,262.165
32.442,262.165
32.581,881.604
32.701,883.119
32.842,879.371
32.978,880.111
33.111,880.111
33.234,881.803
33.371,881.997
33.511,881.997
33.652,884.297
33.781,882.789
33.882,884.044
34.022,883.149
34.151,883.875
34.291,880.466
34.432,782.469
34.571,781.335
34.711,782.295
34.818,784.961
34.935,785.809
35.071,782.420
35.211,782.420
35.350,782.420
35.484,878.313
35.600,784.814
35.741,784.814
35.882,781.741
36.022,695.930
36.150,698.094
36.291,695.977
36.432,697.962
36.572,697.208
36.706,697.538
36.846,697.623
36.983,695.671
37.124,695.818
37.233,695.131
37.350,695.131
37.483,695.131
37.621,695.131
37.762,695.131
37.885,787.416
38.018,787.702
38.159,787.740
38.268,782.516
38.370,782.516
38.501,782.516
38.641,782.516
38.781,782.516
38.916,782.516
39.051,985.739
39.191,936.327
39.301,929.328
39.425,927.682
39.566,928.123
39.707,928.123
39.848,928.123
39.981,928.123
40.121,928.123
40.261,928.123
40.401,928.123
40.515,881.563
40.649,877.993
40.783,878.205
40.921,876.551
41.061,876.551
41.201,880.745
41.341,880.745
41.481,1047.493
41.622,1047.493
41.761,1050.179
41.899,1047.070
42.033,1049.687
42.171,1052.188
42.312,787.303
